Player,Height,Weight,Age,School,BDate
VitorÿFaverani,83,260,25,None,5/5/1988
AveryÿBradley,74,180,22,Texas,11/26/1990
KeithÿBogans,77,215,33,Kentucky,5/12/1980
JaredÿSullinger,81,260,21,Ohio State,3/4/1992
JeffÿGreen,81,235,27,Georgetown,8/28/1986
RajonÿRondo,73,171,27,Kentucky,2/22/1986
CourtneyÿLee,77,200,27,Western Kentucky,10/3/1985
MarShonÿBrooks,77,200,24,Providence,1/26/1989
PhilÿPressey,71,175,22,Missouri,2/17/1991
JordanÿCrawford,76,195,24,Xavier,10/23/1988
BrandonÿBass,80,250,28,LSU,4/30/1985
ColtonÿIverson,84,255,24,Colorado State,6/29/1989
KellyÿOlynyk,84,238,22,Gonzaga,4/19/1991
KrisÿHumphries,81,235,28,Minnesota,2/6/1985
ChrisÿWilcox,82,235,31,Maryland,9/3/1982
GeraldÿWallace,79,220,31,Alabama,7/23/1982
AndrayÿBlatche,83,260,27,None,8/22/1986
AlanÿAnderson,78,219,30,Michigan State,10/16/1982
MasonÿPlumlee,82,235,23,Duke,3/5/1990
KevinÿGarnett,83,253,37,None,5/19/1976
JoeÿJohnson,79,240,32,Arkansas,6/29/1981
DeronÿWilliams,75,209,29,Illinois,6/26/1984
TyshawnÿTaylor,75,185,23,Kansas,4/11/1990
BrookÿLopez,84,265,25,Stanford,4/1/1988
ShaunÿLivingston,79,185,28,None,9/11/1985
TornikeÿShengelia,81,217,21,Spirou Charleroi (BEL),10/5/1991
ReggieÿEvans,80,245,33,Iowa,5/18/1980
JasonÿTerry,74,180,36,Arizona,9/15/1977
MirzaÿTeletovic,80,235,28,None,9/18/1985
PaulÿPierce,79,235,35,Kansas,10/13/1977
JerryÿStackhouse,78,218,38,North Carolina,11/5/1974
AndreiÿKirilenko,81,235,32,None,2/18/1981
AndreaÿBargnani,84,255,27,None,10/26/1985
C.J.ÿLeslie,81,209,22,NC State,6/25/1991
Toure`ÿMurry,77,200,23,Wichita State,11/8/1989
JeremyÿTyler,82,260,22,Tokyo Apache (Japan),6/21/1991
MettaÿWorld Peace,79,260,33,St. John`s,11/13/1979
TimÿHardaway Jr.,78,205,21,Michigan,3/16/1992
ChrisÿSmith,74,195,25,Louisville,10/13/1987
BenoÿUdrih,75,205,31,None,7/5/1982
